,tradeTime,price
4775,2015-06-28,38016.5
4776,2015-06-29,38239.6
4777,2015-06-30,41016.4
4778,2015-07-01,40264.6
4779,2015-07-02,41420.7
4780,2015-07-03,38395.1
4781,2015-07-04,37643.4
4782,2015-07-05,38171.4
4783,2015-07-06,38520.0
4784,2015-07-07,40161.3
4785,2015-07-08,37772.3
4786,2015-07-09,39759.4
4787,2015-07-10,39823.8
4788,2015-07-11,39064.8
4789,2015-07-12,39164.2
4790,2015-07-13,37911.6
4791,2015-07-14,37171.0
4792,2015-07-15,39175.4
4793,2015-07-16,41011.3
4794,2015-07-17,40987.3
4795,2015-07-18,38860.8
4796,2015-07-19,38867.3
4797,2015-07-20,39542.6
4798,2015-07-21,39486.6
4799,2015-07-22,38623.1
4800,2015-07-23,38592.0
4801,2015-07-24,40897.7
4802,2015-07-25,37961.0
4803,2015-07-26,37737.4
4804,2015-07-27,39198.5
4805,2015-07-28,38521.0
4806,2015-07-29,37895.7
4807,2015-07-30,39049.4
4808,2015-07-31,39972.8
4809,2015-08-01,36814.3
4810,2015-08-02,38614.9
4811,2015-08-03,38543.2
4812,2015-08-04,40730.5
4813,2015-08-05,38306.4
4814,2015-08-06,41838.4
4815,2015-08-07,36781.5
4816,2015-08-08,39973.7
4817,2015-08-09,39168.8
4818,2015-08-10,38910.2
4819,2015-08-11,38919.3
4820,2015-08-12,38102.9
4821,2015-08-13,39897.4
4822,2015-08-14,38483.9
4823,2015-08-15,38232.3
4824,2015-08-16,37972.1
4825,2015-08-17,40333.5
4826,2015-08-18,39596.2
4827,2015-08-19,40237.0
4828,2015-08-20,42311.9
4829,2015-08-21,40573.5
4830,2015-08-22,38757.9
4831,2015-08-23,39114.6
4832,2015-08-24,39760.3
4833,2015-08-25,40072.0
4834,2015-08-26,40573.7
4835,2015-08-27,38643.4
4836,2015-08-28,42709.7
4837,2015-08-29,36744.4
4838,2015-08-30,39038.5
4839,2015-08-31,42598.9
4840,2015-09-01,40469.5
4841,2015-09-02,42821.1
4842,2015-09-03,37154.5
4843,2015-09-04,38368.2
4844,2015-09-05,38203.0
4845,2015-09-06,38849.3
4846,2015-09-07,40490.8
4847,2015-09-08,40988.6
4848,2015-09-09,39771.2
4849,2015-09-10,42355.7
4850,2015-09-11,41829.1
4851,2015-09-12,39019.8
4852,2015-09-13,37755.7
4853,2015-09-14,41118.3
4854,2015-09-15,38388.2
4855,2015-09-16,39177.9
4856,2015-09-17,40226.3
4857,2015-09-18,39915.9
4858,2015-09-19,38330.8
4859,2015-09-20,40485.5
4860,2015-09-21,40523.8
4861,2015-09-22,42631.3
4862,2015-09-23,40786.2
4863,2015-09-24,39933.9
4864,2015-09-25,39138.3
4865,2015-09-26,38888.3
4866,2015-09-27,37446.5
4867,2015-09-28,40668.0
4868,2015-09-29,41080.7
4869,2015-09-30,41408.5
4870,2015-10-01,37555.5
4871,2015-10-02,41513.7
4872,2015-10-03,38192.1
4873,2015-10-04,34515.9
4874,2015-10-05,38736.6
4875,2015-10-06,39194.8
4876,2015-10-07,39006.6
4877,2015-10-08,38401.9
4878,2015-10-09,39660.6
4879,2015-10-10,41416.4
4880,2015-10-11,38757.6
4881,2015-10-12,38250.2
4882,2015-10-13,42148.9
4883,2015-10-14,39697.3
4884,2015-10-15,41652.5
4885,2015-10-16,41344.9
4886,2015-10-17,40319.0
4887,2015-10-18,37219.6
4888,2015-10-19,40172.4
4889,2015-10-20,39621.9
4890,2015-10-21,37491.9
4891,2015-10-22,40652.1
4892,2015-10-23,37616.5
4893,2015-10-24,37392.0
4894,2015-10-25,38594.1
4895,2015-10-26,41582.8
4896,2015-10-27,39225.3
4897,2015-10-28,40207.4
4898,2015-10-29,40032.0
4899,2015-10-30,39835.8
4900,2015-10-31,39385.9
4901,2015-11-01,39160.3
4902,2015-11-02,40772.0
4903,2015-11-03,41274.5
4904,2015-11-04,40734.4
4905,2015-11-05,40842.5
4906,2015-11-06,41195.3
4907,2015-11-07,37770.9
4908,2015-11-08,38737.8
4909,2015-11-09,39843.6
4910,2015-11-10,39757.7
4911,2015-11-11,39430.1
4912,2015-11-12,39487.2
4913,2015-11-13,38742.9
4914,2015-11-14,38851.0
4915,2015-11-15,38212.4
4916,2015-11-16,40638.2
4917,2015-11-17,41520.5
4918,2015-11-18,42427.0
4919,2015-11-19,39127.2
4920,2015-11-20,40716.9
4921,2015-11-21,40084.4
4922,2015-11-22,39527.4
4923,2015-11-23,40117.0
4924,2015-11-24,40138.7
4925,2015-11-25,39188.1
4926,2015-11-26,38732.3
4927,2015-11-27,39600.7
4928,2015-11-28,38866.8
4929,2015-11-29,38921.7
4930,2015-11-30,41553.1
4931,2015-12-01,41113.4
4932,2015-12-02,44214.4
4933,2015-12-03,41383.9
4934,2015-12-04,40508.0
4935,2015-12-05,39973.3
4936,2015-12-06,39357.8
4937,2015-12-07,40045.1
4938,2015-12-08,41226.9
4939,2015-12-09,41380.7
4940,2015-12-10,40037.4
4941,2015-12-11,42225.6
4942,2015-12-12,39661.9
4943,2015-12-13,38724.6
4944,2015-12-14,42744.1
4945,2015-12-15,42020.7
4946,2015-12-16,39150.8
4947,2015-12-17,40837.8
4948,2015-12-18,40254.2
4949,2015-12-19,40582.1
4950,2015-12-20,40571.1
4951,2015-12-21,40337.3
4952,2015-12-22,41881.1
4953,2015-12-23,40364.3
4954,2015-12-24,41096.1
4955,2015-12-25,44744.3
4956,2015-12-26,40822.8
4957,2015-12-27,40207.8
4958,2015-12-28,41198.3
4959,2015-12-29,40717.3
4960,2015-12-30,39734.0
4961,2015-12-31,40910.3
4962,2016-01-01,38333.2
4963,2016-01-02,38886.5
4964,2016-01-03,40468.3
4965,2016-01-04,42818.6
4966,2016-01-05,42371.1
4967,2016-01-06,41985.0
4968,2016-01-07,41630.0
4969,2016-01-08,41515.7
4970,2016-01-09,41413.5
4971,2016-01-10,40361.7
4972,2016-01-11,42313.1
4973,2016-01-12,42654.3
4974,2016-01-13,43314.1
4975,2016-01-14,42878.9
4976,2016-01-15,46441.0
4977,2016-01-16,40700.8
4978,2016-01-17,41144.7
4979,2016-01-18,42850.0
4980,2016-01-19,40850.0
4981,2016-01-20,41623.9
4982,2016-01-21,43482.6
4983,2016-01-22,46135.2
4984,2016-01-23,42714.3
4985,2016-01-24,41367.5
4986,2016-01-25,41949.3
4987,2016-01-26,45516.2
4988,2016-01-27,42762.4
4989,2016-01-28,44296.7
4990,2016-01-29,43180.5
4991,2016-01-30,42007.0
4992,2016-01-31,43015.8
4993,2016-02-01,42257.0
4994,2016-02-02,46178.8
4995,2016-02-03,41214.9
4996,2016-02-04,40133.9
4997,2016-02-05,38783.0
4998,2016-02-06,35800.9
4999,2016-02-07,33936.9
5000,2016-02-08,32072.9
5001,2016-02-09,30209.0
5002,2016-02-10,28345.0
5003,2016-02-11,26481.0
5004,2016-02-12,31576.5
5005,2016-02-13,39309.9
5006,2016-02-14,41744.1
5007,2016-02-15,42172.4
5008,2016-02-16,39161.6
5009,2016-02-17,42132.4
5010,2016-02-18,43693.6
5011,2016-02-19,44256.8
5012,2016-02-20,40920.9
5013,2016-02-21,41377.7
5014,2016-02-22,41423.4
5015,2016-02-23,42577.4
5016,2016-02-24,43304.6
5017,2016-02-25,44578.8
5018,2016-02-26,41651.1
5019,2016-02-27,41444.6
5020,2016-02-28,40384.7
5021,2016-02-29,43448.6
5022,2016-03-01,43647.4
5023,2016-03-02,42309.0
5024,2016-03-03,44656.6
5025,2016-03-04,43884.6
5026,2016-03-05,43099.0
